1101,FRI,8.00
1101,MON,8.00
1101,THU,8.00
1101,TUE,8.00
1101,WED,10.00
1385,FRI,8.00
1385,MON,8.00
1385,THU,8.00
1385,TUE,8.00
1385,WED,8.00
1524,MON,10.00
1524,TUE,10.00
1524,WED,10.00
1998,FRI,8.00
1998,MON,8.00
1998,SAT,4.00
1998,THU,8.00
1998,TUE,8.00
1998,WED,8.00
2358,FRI,10.00
2358,MON,10.00
2358,SAT,4.00
2358,THU,8.00
2358,TUE,8.00
2358,WED,10.00
2765,FRI,8.00
2765,MON,8.00
2765,THU,8.00
2765,TUE,8.00
2765,WED,8.00
2945,FRI,8.00
2945,MON,10.00
2945,SAT,4.00
2945,THU,8.00
2945,TUE,10.00
2945,WED,10.00
4789,FRI,8.00
4789,MON,8.00
4789,THU,8.00
4789,TUE,8.00
4789,WED,8.00
5304,FRI,8.00
5304,MON,12.00
5304,SAT,8.00
5304,THU,8.00
5304,TUE,8.00
5304,WED,10.00
5521,FRI,8.00
5521,MON,8.00
5521,THU,8.00
5521,TUE,8.00
5521,WED,8.00
6447,FRI,8.00
6447,MON,8.00
6447,THU,8.00
6447,TUE,8.00
6447,WED,8.00
6512,FRI,8.00
6512,MON,8.00
6512,THU,8.00
6512,TUE,10.00
6512,WED,10.00
6614,FRI,8.00
6614,MON,8.00
6614,THU,8.00
6614,TUE,8.00
6614,WED,8.00
6749,FRI,10.00
6749,MON,10.00
6749,THU,10.00
6749,TUE,10.00
6749,WED,8.00
7325,FRI,8.00
7325,MON,8.00
7325,THU,8.00
7325,TUE,8.00
7325,WED,8.00
7886,FRI,8.00
7886,MON,8.00
7886,THU,8.00
7886,TUE,8.00
7886,WED,8.00
8356,FRI,8.00
8356,MON,10.00
8356,THU,8.00
8356,TUE,8.00
8356,WED,8.00
8466,FRI,8.00
8466,MON,8.00
8466,THU,8.00
8466,TUE,8.00
8466,WED,8.00
9458,FRI,4.00
9458,MON,10.00
9458,THU,10.00
9458,TUE,10.00
9458,WED,10.00
